id,sender,timestamp,text
252,Grace,2024-01-11T19:48:00,"Супер, спасибо!"
253,Frank,2024-01-14T11:00:00,"Супер, спасибо!"
254,Grace,2024-01-13T21:39:00,"Готово, можно проверять."
255,Bob,2024-01-03T00:16:00,Отправил в личку.
256,Frank,2024-01-04T13:14:00,"Ок, принял."
257,Heidi,2024-01-03T08:24:00,Пока без изменений.
258,Heidi,2024-01-09T00:24:00,"Отлично, так и сделаем."
259,Dave,2024-01-13T03:00:00,Мне нужно больше деталей.
260,Heidi,2024-01-05T21:25:00,"Проверил, всё работает."
261,Dave,2024-01-04T05:39:00,Отправил в личку.
262,Alice,2024-01-05T07:37:00,"Скинь, пожалуйста, ссылку."
263,Bob,2024-01-12T00:52:00,Есть новости по задаче?
264,Frank,2024-01-02T18:52:00,Вышло новое обновление.
265,Heidi,2024-01-12T01:44:00,Уже почти готово.
266,Bob,2024-01-09T13:07:00,"Я думаю, это хорошая идея."
267,Alice,2024-01-03T19:21:00,"Скинь, пожалуйста, ссылку."
268,Heidi,2024-01-02T11:01:00,Запускаю тесты.
269,Frank,2024-01-06T23:23:00,Вышло новое обновление.
270,Bob,2024-01-13T08:27:00,Пока без изменений.
271,Frank,2024-01-04T11:51:00,Когда созвон?
272,Frank,2024-01-09T19:33:00,Это звучит странно.
273,Grace,2024-01-09T13:05:00,Привет! Как дела?
274,Grace,2024-01-07T02:02:00,Не вижу сообщения.
275,Carol,2024-01-13T17:17:00,Кто-нибудь видел файл?
276,Eve,2024-01-07T02:13:00,"Перепроверь, пожалуйста."
277,Eve,2024-01-01T14:07:00,"Скинь, пожалуйста, ссылку."
278,Grace,2024-01-12T12:31:00,"Перепроверь, пожалуйста."
279,Frank,2024-01-12T15:23:00,Вышло новое обновление.
280,Eve,2024-01-05T19:44:00,"Да, видел это вчера."
281,Alice,2024-01-13T04:32:00,Можно перенести встречу?
282,Eve,2024-01-08T17:04:00,Когда созвон?
283,Dave,2024-01-11T03:19:00,Давайте решим это завтра.
284,Frank,2024-01-13T10:22:00,Это срочно?
285,Dave,2024-01-02T09:17:00,"Скинь, пожалуйста, ссылку."
286,Eve,2024-01-01T09:44:00,Есть новости по задаче?
287,Bob,2024-01-08T22:23:00,Пока без изменений.
288,Bob,2024-01-11T23:36:00,"Отлично, так и сделаем."
289,Carol,2024-01-06T16:18:00,Привет! Как дела?
290,Eve,2024-01-11T11:34:00,"Скинь, пожалуйста, ссылку."
291,Carol,2024-01-06T17:02:00,Давайте решим это завтра.
292,Carol,2024-01-13T19:04:00,"Ок, принял."
293,Bob,2024-01-11T04:38:00,"Отлично, так и сделаем."
294,Carol,2024-01-04T00:26:00,Уже почти готово.
295,Bob,2024-01-13T19:39:00,Мне нужно больше деталей.
296,Frank,2024-01-04T14:44:00,Можно перенести встречу?
297,Heidi,2024-01-07T03:42:00,Это срочно?
298,Alice,2024-01-05T15:30:00,"Готово, можно проверять."
299,Alice,2024-01-03T01:55:00,"Ок, принял."
300,Eve,2024-01-14T23:07:00,"Да, видел это вчера."
301,Eve,2024-01-10T02:07:00,"Похоже, что-то сломалось."
302,Heidi,2024-01-15T02:03:00,Запускаю тесты.
303,Bob,2024-01-10T10:16:00,"Уточни, пожалуйста."
304,Dave,2024-01-03T21:55:00,"Скинь, пожалуйста, ссылку."
305,Grace,2024-01-03T12:39:00,Можно перенести встречу?
306,Grace,2024-01-01T09:04:00,Это срочно?
307,Alice,2024-01-02T04:35:00,"Ок, принял."
308,Grace,2024-01-13T12:12:00,Запускаю тесты.
309,Eve,2024-01-02T13:22:00,Привет! Как дела?
310,Frank,2024-01-03T03:49:00,"Супер, спасибо!"
311,Heidi,2024-01-07T20:58:00,Уже почти готово.
312,Bob,2024-01-02T16:48:00,Мне нужно больше деталей.
313,Heidi,2024-01-10T11:21:00,Это срочно?
314,Eve,2024-01-11T23:49:00,"Похоже, что-то сломалось."
315,Carol,2024-01-08T14:29:00,Через час буду на связи.
316,Dave,2024-01-05T12:18:00,Отправил в личку.
317,Carol,2024-01-01T11:52:00,"Проверил, всё работает."
318,Dave,2024-01-12T19:37:00,"Готово, можно проверять."
319,Alice,2024-01-12T18:49:00,"Проверил, всё работает."
320,Alice,2024-01-07T22:08:00,"Я думаю, это хорошая идея."
321,Heidi,2024-01-03T20:30:00,Мне нужно больше деталей.
322,Heidi,2024-01-13T13:28:00,Когда созвон?
323,Eve,2024-01-11T00:37:00,"Супер, спасибо!"
324,Frank,2024-01-08T09:52:00,Мне нужно больше деталей.
325,Heidi,2024-01-07T10:20:00,"Я думаю, это хорошая идея."
326,Grace,2024-01-14T02:07:00,Есть новости по задаче?
327,Bob,2024-01-02T16:58:00,Вышло новое обновление.
328,Alice,2024-01-07T11:35:00,Есть новости по задаче?
329,Heidi,2024-01-04T14:21:00,Мне нужно больше деталей.
330,Bob,2024-01-04T20:20:00,Через час буду на связи.
331,Alice,2024-01-13T22:44:00,Когда созвон?
332,Carol,2024-01-05T17:34:00,Давайте решим это завтра.
333,Heidi,2024-01-11T23:22:00,"Да, видел это вчера."
334,Carol,2024-01-07T21:09:00,Привет! Как дела?
335,Bob,2024-01-14T11:45:00,"Уточни, пожалуйста."
336,Alice,2024-01-04T22:08:00,Запускаю тесты.
337,Carol,2024-01-08T02:07:00,Что по дедлайну?
338,Dave,2024-01-07T23:55:00,"Перепроверь, пожалуйста."
339,Eve,2024-01-05T16:18:00,Мне нужно больше деталей.
340,Eve,2024-01-06T03:02:00,"Готово, можно проверять."
341,Eve,2024-01-11T22:19:00,Это звучит странно.
342,Bob,2024-01-07T19:58:00,Отправил в личку.
343,Grace,2024-01-05T07:20:00,Можешь посмотреть позже?
344,Bob,2024-01-13T07:12:00,Есть новости по задаче?
345,Frank,2024-01-01T12:12:00,"Скинь, пожалуйста, ссылку."
346,Dave,2024-01-10T03:17:00,Пока без изменений.
347,Alice,2024-01-07T05:59:00,Не вижу сообщения.
348,Bob,2024-01-10T09:15:00,"Уточни, пожалуйста."
349,Heidi,2024-01-13T19:21:00,Запускаю тесты.
350,Dave,2024-01-07T17:02:00,Кто-нибудь видел файл?
351,Alice,2024-01-09T20:53:00,Пока без изменений.
352,Dave,2024-01-05T01:45:00,"Я думаю, это хорошая идея."
353,Eve,2024-01-05T06:45:00,Мне нужно больше деталей.
354,Frank,2024-01-12T19:24:00,"Похоже, что-то сломалось."
355,Carol,2024-01-14T06:23:00,Кто-нибудь видел файл?
356,Carol,2024-01-13T07:49:00,Мне нужно больше деталей.
357,Eve,2024-01-05T00:50:00,"Готово, можно проверять."
358,Eve,2024-01-01T23:31:00,Мне нужно больше деталей.
359,Heidi,2024-01-01T10:56:00,"Скинь, пожалуйста, ссылку."
360,Alice,2024-01-03T22:09:00,"Супер, спасибо!"
361,Eve,2024-01-12T04:25:00,Можешь посмотреть позже?
362,Heidi,2024-01-04T11:33:00,"Супер, спасибо!"
363,Grace,2024-01-11T10:22:00,"Да, видел это вчера."
364,Grace,2024-01-13T18:12:00,Можно перенести встречу?
365,Eve,2024-01-05T11:57:00,Это звучит странно.
366,Eve,2024-01-05T22:41:00,Пока без изменений.
367,Carol,2024-01-09T02:13:00,"Я думаю, это хорошая идея."
368,Carol,2024-01-02T13:16:00,"Перепроверь, пожалуйста."
369,Grace,2024-01-07T06:30:00,"Отлично, так и сделаем."
370,Frank,2024-01-07T22:49:00,"Супер, спасибо!"
371,Bob,2024-01-03T23:00:00,Можешь посмотреть позже?
372,Alice,2024-01-07T12:21:00,"Да, видел это вчера."
373,Alice,2024-01-05T10:02:00,Вышло новое обновление.
374,Grace,2024-01-04T02:17:00,Есть новости по задаче?
375,Eve,2024-01-03T04:16:00,Это звучит странно.
376,Eve,2024-01-03T13:23:00,"Я думаю, это хорошая идея."
377,Carol,2024-01-12T11:08:00,Что по дедлайну?
378,Grace,2024-01-15T04:29:00,Давайте решим это завтра.
379,Bob,2024-01-02T05:46:00,Через час буду на связи.
380,Grace,2024-01-11T19:03:00,Давайте решим это завтра.
381,Frank,2024-01-02T21:52:00,"Проверил, всё работает."
382,Alice,2024-01-01T14:11:00,Сделаю вечером.
383,Carol,2024-01-07T02:30:00,"Похоже, что-то сломалось."
384,Dave,2024-01-09T18:34:00,"Ок, принял."
385,Frank,2024-01-07T21:01:00,Когда созвон?
386,Grace,2024-01-06T12:28:00,Кто-нибудь видел файл?
387,Eve,2024-01-09T18:06:00,Запускаю тесты.
388,Alice,2024-01-08T01:40:00,"Да, видел это вчера."
389,Bob,2024-01-11T05:07:00,Сделаю вечером.
390,Carol,2024-01-04T00:32:00,Можешь посмотреть позже?
391,Frank,2024-01-14T12:45:00,"Супер, спасибо!"
392,Heidi,2024-01-11T04:45:00,"Ок, принял."
393,Dave,2024-01-04T07:17:00,"Супер, спасибо!"
394,Grace,2024-01-06T17:27:00,"Ок, принял."
395,Frank,2024-01-09T05:31:00,Это звучит странно.
396,Eve,2024-01-06T02:10:00,Есть новости по задаче?
397,Bob,2024-01-10T19:34:00,Пока без изменений.
398,Frank,2024-01-10T19:16:00,Это срочно?
399,Heidi,2024-01-09T08:23:00,"Да, видел это вчера."
400,Grace,2024-01-11T16:41:00,Пока без изменений.
401,Bob,2024-01-06T18:58:00,Запускаю тесты.
402,Bob,2024-01-09T01:44:00,Когда созвон?
403,Dave,2024-01-01T23:28:00,Пока без изменений.
404,Dave,2024-01-08T18:21:00,Можешь посмотреть позже?
405,Eve,2024-01-01T23:33:00,Сделаю вечером.
406,Eve,2024-01-09T03:08:00,Не вижу сообщения.
407,Grace,2024-01-07T04:06:00,Не вижу сообщения.
408,Eve,2024-01-14T20:08:00,Сделаю вечером.
409,Grace,2024-01-06T22:51:00,Это звучит странно.
410,Grace,2024-01-05T20:55:00,Не вижу сообщения.
411,Alice,2024-01-11T12:22:00,"Проверил, всё работает."
412,Grace,2024-01-11T22:17:00,Есть новости по задаче?
413,Grace,2024-01-10T06:18:00,Что по дедлайну?
414,Bob,2024-01-11T05:08:00,"Отлично, так и сделаем."
415,Dave,2024-01-03T11:45:00,Уже почти готово.
416,Bob,2024-01-07T04:08:00,"Уточни, пожалуйста."
417,Grace,2024-01-03T08:37:00,Можешь посмотреть позже?
418,Heidi,2024-01-03T18:05:00,Сделаю вечером.
419,Dave,2024-01-06T04:07:00,Через час буду на связи.
420,Carol,2024-01-06T20:47:00,"Отлично, так и сделаем."
421,Alice,2024-01-03T11:16:00,"Перепроверь, пожалуйста."
422,Eve,2024-01-04T19:03:00,Запускаю тесты.
423,Frank,2024-01-09T23:58:00,Сделаю вечером.
424,Carol,2024-01-09T03:58:00,Пока без изменений.
425,Bob,2024-01-04T19:58:00,Кто-нибудь видел файл?
426,Eve,2024-01-08T01:15:00,Можно перенести встречу?
427,Eve,2024-01-05T01:20:00,Когда созвон?
428,Grace,2024-01-01T12:37:00,Отправил в личку.
429,Frank,2024-01-02T15:58:00,"Отлично, так и сделаем."
430,Frank,2024-01-08T14:01:00,Сделаю вечером.
431,Bob,2024-01-14T02:16:00,Сделаю вечером.
432,Eve,2024-01-03T16:27:00,Это звучит странно.
433,Alice,2024-01-05T18:00:00,Можешь посмотреть позже?
434,Alice,2024-01-01T11:30:00,"Уточни, пожалуйста."
435,Bob,2024-01-13T04:38:00,"Да, видел это вчера."
436,Dave,2024-01-10T12:25:00,Это звучит странно.
437,Carol,2024-01-09T05:00:00,"Супер, спасибо!"
438,Alice,2024-01-03T00:28:00,"Похоже, что-то сломалось."
439,Grace,2024-01-06T18:33:00,Можешь посмотреть позже?
440,Alice,2024-01-08T13:21:00,"Супер, спасибо!"
441,Alice,2024-01-10T15:36:00,"Ок, принял."
442,Eve,2024-01-14T16:59:00,"Да, видел это вчера."
443,Carol,2024-01-10T04:21:00,"Похоже, что-то сломалось."
444,Frank,2024-01-04T14:46:00,"Я думаю, это хорошая идея."
445,Alice,2024-01-05T02:11:00,Есть новости по задаче?
446,Heidi,2024-01-05T06:56:00,Что по дедлайну?
447,Heidi,2024-01-07T12:56:00,Уже почти готово.
448,Carol,2024-01-06T12:40:00,"Супер, спасибо!"
449,Eve,2024-01-04T08:51:00,Можно перенести встречу?
450,Eve,2024-01-03T16:55:00,Через час буду на связи.
451,Carol,2024-01-15T01:44:00,Не вижу сообщения.
452,Bob,2024-01-01T23:14:00,Можно перенести встречу?
453,Heidi,2024-01-02T22:53:00,"Похоже, что-то сломалось."
454,Frank,2024-01-10T10:28:00,Не вижу сообщения.
455,Dave,2024-01-01T21:07:00,Уже почти готово.
456,Carol,2024-01-12T07:29:00,Можешь посмотреть позже?
457,Heidi,2024-01-04T19:42:00,"Проверил, всё работает."
458,Bob,2024-01-01T19:19:00,Когда созвон?
459,Alice,2024-01-13T20:45:00,"Супер, спасибо!"
460,Bob,2024-01-03T15:39:00,"Да, видел это вчера."
461,Bob,2024-01-04T01:16:00,Не вижу сообщения.
462,Frank,2024-01-02T07:23:00,Через час буду на связи.
463,Dave,2024-01-05T03:55:00,Когда созвон?
464,Eve,2024-01-07T22:07:00,"Ок, принял."
465,Carol,2024-01-06T07:01:00,"Отлично, так и сделаем."
466,Frank,2024-01-03T06:41:00,Есть новости по задаче?
467,Heidi,2024-01-04T08:50:00,Вышло новое обновление.
468,Bob,2024-01-10T04:17:00,Это звучит странно.
469,Frank,2024-01-14T13:15:00,Сделаю вечером.
470,Grace,2024-01-13T22:53:00,"Проверил, всё работает."
471,Grace,2024-01-12T23:43:00,"Готово, можно проверять."
472,Carol,2024-01-12T04:09:00,Сделаю вечером.
473,Heidi,2024-01-04T18:55:00,"Да, видел это вчера."
474,Carol,2024-01-06T01:53:00,Мне нужно больше деталей.
475,Eve,2024-01-09T23:39:00,Уже почти готово.
476,Frank,2024-01-13T15:19:00,Запускаю тесты.
477,Frank,2024-01-12T16:33:00,Пока без изменений.
478,Frank,2024-01-13T04:35:00,Сделаю вечером.
479,Heidi,2024-01-06T13:37:00,Отправил в личку.
480,Bob,2024-01-05T08:05:00,"Проверил, всё работает."
481,Bob,2024-01-03T20:19:00,"Скинь, пожалуйста, ссылку."
482,Frank,2024-01-12T03:54:00,Есть новости по задаче?
483,Grace,2024-01-08T07:59:00,Мне нужно больше деталей.
484,Heidi,2024-01-04T09:31:00,"Перепроверь, пожалуйста."
485,Heidi,2024-01-06T19:31:00,"Перепроверь, пожалуйста."
486,Grace,2024-01-10T15:38:00,Когда созвон?
487,Dave,2024-01-15T03:45:00,Пока без изменений.
488,Eve,2024-01-14T02:17:00,Уже почти готово.
489,Dave,2024-01-03T07:24:00,"Отлично, так и сделаем."
490,Grace,2024-01-13T13:28:00,Запускаю тесты.
491,Alice,2024-01-04T21:10:00,Что по дедлайну?
492,Frank,2024-01-11T02:28:00,Мне нужно больше деталей.
493,Frank,2024-01-03T04:22:00,"Супер, спасибо!"
494,Frank,2024-01-14T04:58:00,Давайте решим это завтра.
495,Dave,2024-01-13T06:00:00,Можно перенести встречу?
496,Alice,2024-01-08T19:22:00,Сделаю вечером.
497,Carol,2024-01-14T14:45:00,"Я думаю, это хорошая идея."
498,Heidi,2024-01-09T06:45:00,"Отлично, так и сделаем."
499,Heidi,2024-01-12T06:28:00,Уже почти готово.
500,Grace,2024-01-14T07:51:00,"Супер, спасибо!"
